[19:00:37] [INFO] received Windows console close event; shutting log-core down
[19:01:16] [INFO] received Windows console close event; shutting log-core down
[19:01:17] [INFO] received Windows console close event; shutting log-core down
[19:02:49] [INFO] received Windows console close event; shutting log-core down
[19:03:18] [INFO] received Windows console close event; shutting log-core down
[19:03:31] [INFO] received Windows console close event; shutting log-core down
[23:30:37] [INFO] received Windows console close event; shutting log-core down
[23:30:47] [INFO] received Windows console close event; shutting log-core down
[23:35:33] [INFO] received Windows console close event; shutting log-core down
[23:36:05] [INFO] received Windows console close event; shutting log-core down
[23:36:48] [INFO] received Windows console close event; shutting log-core down
[23:37:05] [INFO] received Windows console close event; shutting log-core down
[23:37:07] [INFO] received Windows console close event; shutting log-core down
[23:37:28] [INFO] received Windows console close event; shutting log-core down
[23:37:41] [INFO] received Windows console close event; shutting log-core down
[23:37:56] [INFO] received Windows console close event; shutting log-core down
[23:38:13] [INFO] received Windows console close event; shutting log-core down
[00:08:34] [INFO] received Windows console close event; shutting log-core down
[00:56:36] [INFO] received Windows console close event; shutting log-core down
[00:59:34] [INFO] received Windows console close event; shutting log-core down
[01:02:35] [INFO] received Windows console close event; shutting log-core down
[01:03:14] [INFO] received Windows console close event; shutting log-core down
[10:56:09] [INFO] received Windows console close event; shutting log-core down
[10:56:29] [INFO] received Windows console close event; shutting log-core down
[11:06:03] [INFO] received Windows console close event; shutting log-core down
[11:10:48] [INFO] received Windows console close event; shutting log-core down
[11:19:54] [INFO] received Windows console close event; shutting log-core down
[11:25:50] [INFO] received Windows console close event; shutting log-core down
[11:28:39] [INFO] received Windows console close event; shutting log-core down
[11:30:47] [INFO] received Windows console close event; shutting log-core down
[11:31:00] [INFO] received Windows console close event; shutting log-core down
[11:32:51] [INFO] received Windows console close event; shutting log-core down
[11:34:18] [INFO] received Windows console close event; shutting log-core down
[11:35:09] [INFO] received Windows console close event; shutting log-core down
[11:36:05] [INFO] received Windows console close event; shutting log-core down
[11:57:40] [INFO] received Windows console close event; shutting log-core down
